日期,收盘,开盘,高,低,交易量,涨跌幅
2019/1/2,2969.54 ,3017.07 ,3018.78 ,2958.49 ,68.66K,-1.37%
2019/1/3,2964.84 ,2963.02 ,3000.44 ,2953.25 ,70.87K,-0.16%
2019/1/4,3035.87 ,2940.19 ,3036.81 ,2935.83 ,103.32K,2.40%
2019/1/7,3054.30 ,3055.15 ,3061.75 ,3035.91 ,101.16K,0.61%
2019/1/8,3047.70 ,3049.87 ,3055.51 ,3038.53 ,86.17K,-0.22%
2019/1/9,3078.48 ,3065.23 ,3117.96 ,3062.85 ,107.36K,1.01%
2019/1/10,3072.69 ,3077.48 ,3092.54 ,3062.57 ,85.27K,-0.19%
2019/1/11,3094.78 ,3082.26 ,3102.83 ,3071.03 ,71.79K,0.72%
2019/1/14,3067.78 ,3092.50 ,3097.41 ,3064.38 ,66.12K,-0.87%
2019/1/15,3127.99 ,3071.52 ,3129.37 ,3064.67 ,88.77K,1.96%
2019/1/16,3128.65 ,3126.13 ,3135.01 ,3117.29 ,80.21K,0.02%
2019/1/17,3111.42 ,3132.63 ,3141.71 ,3110.06 ,80.18K,-0.55%
2019/1/18,3168.17 ,3124.50 ,3171.69 ,3120.35 ,103.96K,1.82%
2019/1/21,3185.64 ,3170.88 ,3199.21 ,3170.88 ,93.92K,0.55%
2019/1/22,3143.32 ,3181.95 ,3181.95 ,3135.34 ,72.99K,-1.33%
2019/1/23,3141.05 ,3136.10 ,3157.63 ,3131.87 ,59.87K,-0.07%
2019/1/24,3158.78 ,3146.60 ,3165.63 ,3125.30 ,72.94K,0.56%
2019/1/25,3184.47 ,3165.18 ,3203.17 ,3164.41 ,83.97K,0.81%
2019/1/28,3183.78 ,3203.12 ,3228.87 ,3174.72 ,82.62K,-0.02%
2019/1/29,3193.97 ,3177.26 ,3200.99 ,3148.23 ,77.66K,0.32%
2019/1/30,3168.48 ,3181.66 ,3202.90 ,3167.89 ,63.75K,-0.80%
2019/1/31,3201.63 ,3182.70 ,3216.07 ,3178.01 ,86.25K,1.05%
2019/2/1,3247.40 ,3225.73 ,3247.50 ,3207.72 ,82.02K,1.43%
2019/2/11,3306.47 ,3239.81 ,3307.06 ,3239.81 ,98.82K,1.82%
2019/2/12,3330.34 ,3306.35 ,3335.36 ,3298.63 ,122.23K,0.72%
2019/2/13,3397.03 ,3337.78 ,3405.58 ,3329.14 ,163.83K,2.00%
2019/2/14,3402.14 ,3392.85 ,3415.40 ,3381.98 ,151.13K,0.15%
2019/2/15,3338.70 ,3391.24 ,3395.03 ,3335.87 ,143.67K,-1.86%
2019/2/18,3445.74 ,3366.42 ,3445.74 ,3366.42 ,182.89K,3.21%
2019/2/19,3439.61 ,3454.72 ,3480.79 ,3419.07 ,179.08K,-0.18%
2019/2/20,3451.93 ,3449.93 ,3463.77 ,3421.51 ,147.39K,0.36%
2019/2/21,3442.71 ,3450.14 ,3500.25 ,3431.63 ,180.14K,-0.27%
2019/2/22,3520.12 ,3439.38 ,3520.12 ,3417.98 ,187.24K,2.25%
2019/2/25,3729.48 ,3575.85 ,3729.48 ,3574.69 ,342.56K,5.95%
2019/2/26,3684.69 ,3734.71 ,3762.11 ,3679.27 ,358.04K,-1.20%
2019/2/27,3678.39 ,3682.81 ,3737.63 ,3638.33 ,286.24K,-0.17%
2019/2/28,3669.37 ,3675.26 ,3695.46 ,3650.05 ,184.81K,-0.25%
2019/3/1,3749.71 ,3699.22 ,3749.71 ,3668.77 ,204.71K,2.19%
2019/3/4,3794.10 ,3783.04 ,3886.58 ,3764.78 ,323.49K,1.18%
2019/3/5,3816.01 ,3785.38 ,3816.16 ,3770.79 ,230.85K,0.58%
2019/3/6,3848.09 ,3822.86 ,3855.16 ,3787.52 ,318.08K,0.84%
2019/3/7,3808.85 ,3841.15 ,3845.18 ,3778.80 ,329.85K,-1.02%
2019/3/8,3657.58 ,3721.40 ,3774.54 ,3656.19 ,317.99K,-3.97%
2019/3/11,3729.95 ,3663.98 ,3731.91 ,3650.81 ,230.91K,1.98%
2019/3/12,3755.35 ,3758.32 ,3804.72 ,3723.68 ,274.93K,0.68%
2019/3/13,3724.19 ,3758.71 ,3763.09 ,3708.81 ,233.68K,-0.83%
2019/3/14,3698.49 ,3710.29 ,3747.82 ,3673.85 ,190.82K,-0.69%
2019/3/15,3745.01 ,3713.94 ,3782.24 ,3713.94 ,175.18K,1.26%
2019/3/18,3851.75 ,3753.64 ,3851.75 ,3733.68 ,216.93K,2.85%
2019/3/19,3833.96 ,3856.59 ,3868.34 ,3815.22 ,181.73K,-0.46%
2019/3/20,3835.44 ,3825.34 ,3855.15 ,3790.51 ,175.63K,0.04%
2019/3/21,3836.89 ,3840.28 ,3864.07 ,3823.47 ,196.31K,0.04%
2019/3/22,3833.80 ,3838.13 ,3845.58 ,3786.59 ,171.36K,-0.08%
2019/3/25,3742.83 ,3776.44 ,3807.18 ,3741.61 ,198.59K,-2.37%
2019/3/26,3700.44 ,3766.53 ,3770.84 ,3687.55 ,173.05K,-1.13%
2019/3/27,3743.39 ,3724.41 ,3750.26 ,3703.45 ,138.76K,1.16%
2019/3/28,3728.40 ,3731.06 ,3755.72 ,3710.08 ,133.27K,-0.40%
2019/3/29,3872.34 ,3739.77 ,3876.38 ,3739.77 ,215.64K,3.86%
2019/4/1,3973.93 ,3901.17 ,3982.91 ,3901.17 ,271.38K,2.62%
2019/4/2,3971.29 ,3986.34 ,3988.10 ,3956.51 ,226.00K,-0.07%
2019/4/3,4022.16 ,3947.87 ,4026.50 ,3939.78 ,231.92K,1.28%
2019/4/4,4062.23 ,4039.74 ,4072.11 ,4021.71 ,260.41K,1.00%
2019/4/8,4057.23 ,4097.10 ,4122.60 ,4017.49 ,267.51K,-0.12%
2019/4/9,4075.43 ,4063.81 ,4084.24 ,4038.28 ,182.96K,0.45%
2019/4/10,4085.85 ,4062.44 ,4115.38 ,4035.47 ,194.69K,0.26%
2019/4/11,3997.58 ,4083.46 ,4097.12 ,3990.24 ,169.05K,-2.16%
2019/4/12,3988.62 ,3986.78 ,4006.93 ,3961.46 ,135.86K,-0.22%
2019/4/15,3975.52 ,4056.49 ,4085.39 ,3974.23 ,182.65K,-0.33%
2019/4/16,4085.79 ,3958.10 ,4085.79 ,3943.49 ,202.04K,2.77%
2019/4/17,4087.24 ,4080.72 ,4106.62 ,4057.50 ,180.37K,0.04%
2019/4/18,4072.08 ,4085.11 ,4094.05 ,4056.24 ,146.56K,-0.37%
2019/4/19,4120.61 ,4076.30 ,4120.64 ,4046.20 ,150.80K,1.19%
2019/4/22,4025.61 ,4125.97 ,4126.09 ,4015.47 ,189.35K,-2.31%
2019/4/23,4019.01 ,4021.63 ,4061.09 ,4005.28 ,155.61K,-0.16%
2019/4/24,4030.09 ,4033.63 ,4044.34 ,3967.81 ,145.50K,0.28%
2019/4/25,3941.82 ,4013.60 ,4022.56 ,3938.33 ,159.72K,-2.19%
2019/4/26,3889.27 ,3921.89 ,3943.83 ,3887.25 ,142.01K,-1.33%
2019/4/29,3900.33 ,3896.58 ,3953.23 ,3875.45 ,153.87K,0.28%
2019/4/30,3913.21 ,3887.18 ,3923.11 ,3885.15 ,116.23K,0.33%
2019/5/6,3684.62 ,3775.08 ,3791.61 ,3647.14 ,197.47K,-5.84%
2019/5/7,3720.67 ,3702.27 ,3738.18 ,3671.83 ,132.85K,0.98%
2019/5/8,3667.46 ,3648.55 ,3722.93 ,3642.50 ,112.87K,-1.43%
2019/5/9,3599.70 ,3637.35 ,3656.90 ,3584.82 ,101.04K,-1.85%
2019/5/10,3730.45 ,3643.06 ,3732.92 ,3589.29 ,148.00K,3.63%
2019/5/13,3668.73 ,3675.76 ,3702.90 ,3658.00 ,103.39K,-1.65%
2019/5/14,3645.15 ,3630.44 ,3683.26 ,3630.44 ,102.31K,-0.64%
2019/5/15,3727.09 ,3674.99 ,3741.04 ,3674.99 ,110.16K,2.25%
2019/5/16,3743.96 ,3720.04 ,3745.14 ,3707.90 ,116.26K,0.45%
2019/5/17,3648.76 ,3744.88 ,3745.36 ,3637.58 ,128.45K,-2.54%
2019/5/20,3617.79 ,3635.74 ,3644.50 ,3583.83 ,108.96K,-0.85%
2019/5/21,3666.78 ,3619.44 ,3690.09 ,3610.68 ,111.02K,1.35%
2019/5/22,3649.38 ,3663.15 ,3679.27 ,3634.75 ,98.35K,-0.47%
2019/5/23,3583.96 ,3629.53 ,3631.47 ,3578.11 ,99.90K,-1.79%
2019/5/24,3593.91 ,3584.90 ,3623.39 ,3580.79 ,80.93K,0.28%
2019/5/27,3637.20 ,3592.60 ,3648.03 ,3556.26 ,108.83K,1.20%
2019/5/28,3672.26 ,3633.02 ,3683.23 ,3627.79 ,117.89K,0.96%
2019/5/29,3663.91 ,3642.54 ,3693.23 ,3637.35 ,93.36K,-0.23%
2019/5/30,3641.18 ,3648.85 ,3650.97 ,3612.62 ,94.20K,-0.62%
2019/5/31,3629.79 ,3641.00 ,3668.18 ,3627.54 ,89.22K,-0.31%
2019/6/3,3632.01 ,3640.61 ,3672.81 ,3613.13 ,100.72K,0.06%
2019/6/4,3598.47 ,3632.56 ,3636.13 ,3584.46 ,87.10K,-0.92%
2019/6/5,3597.11 ,3627.79 ,3634.45 ,3593.95 ,88.64K,-0.04%
2019/6/6,3564.68 ,3601.04 ,3601.04 ,3557.02 ,85.53K,-0.90%
2019/6/10,3610.74 ,3578.01 ,3623.73 ,3568.28 ,92.38K,1.29%
2019/6/11,3719.28 ,3617.52 ,3723.14 ,3617.52 ,143.48K,3.01%
2019/6/12,3691.10 ,3706.86 ,3711.88 ,3683.94 ,119.18K,-0.76%
2019/6/13,3685.39 ,3689.58 ,3697.59 ,3654.27 ,96.33K,-0.15%
2019/6/14,3654.88 ,3690.48 ,3709.65 ,3650.91 ,101.82K,-0.83%
2019/6/17,3654.82 ,3654.44 ,3683.77 ,3645.50 ,72.98K,0.00%
2019/6/18,3667.62 ,3661.13 ,3675.65 ,3638.78 ,70.69K,0.35%
2019/6/19,3715.94 ,3761.34 ,3771.35 ,3715.13 ,125.60K,1.32%
2019/6/20,3828.52 ,3718.94 ,3845.79 ,3717.19 ,168.87K,3.03%
2019/6/21,3833.94 ,3832.73 ,3856.09 ,3817.31 ,153.64K,0.14%
2019/6/24,3841.27 ,3836.31 ,3853.55 ,3819.77 ,100.09K,0.19%
2019/6/25,3801.31 ,3837.43 ,3838.06 ,3755.01 ,124.08K,-1.04%
2019/6/26,3794.33 ,3779.51 ,3809.76 ,3771.72 ,81.82K,-0.18%
2019/6/27,3834.82 ,3807.54 ,3854.08 ,3805.83 ,105.32K,1.07%
2019/6/28,3825.59 ,3832.06 ,3835.23 ,3803.05 ,84.77K,-0.24%
2019/7/1,3935.81 ,3899.33 ,3936.67 ,3886.91 ,158.37K,2.88%
2019/7/2,3937.17 ,3931.05 ,3942.43 ,3918.94 ,131.86K,0.03%
2019/7/3,3893.53 ,3927.44 ,3927.44 ,3878.84 ,111.99K,-1.11%
2019/7/4,3873.10 ,3895.20 ,3906.89 ,3854.69 ,99.34K,-0.52%
2019/7/5,3893.20 ,3875.37 ,3900.31 ,3857.93 ,74.01K,0.52%
2019/7/8,3802.79 ,3875.75 ,3875.75 ,3775.03 ,109.54K,-2.32%
2019/7/9,3793.13 ,3798.10 ,3811.10 ,3774.76 ,74.84K,-0.25%
2019/7/10,3786.74 ,3807.95 ,3810.40 ,3774.23 ,72.83K,-0.17%
2019/7/11,3785.22 ,3806.19 ,3830.74 ,3774.41 ,75.31K,-0.04%
2019/7/12,3808.73 ,3783.07 ,3820.24 ,3774.52 ,75.47K,0.62%
2019/7/15,3824.19 ,3792.64 ,3844.87 ,3745.85 ,101.21K,0.41%
2019/7/16,3806.84 ,3819.25 ,3828.33 ,3799.87 ,80.73K,-0.45%
2019/7/17,3804.64 ,3800.11 ,3820.27 ,3787.90 ,95.18K,-0.06%
2019/7/18,3768.40 ,3793.19 ,3793.39 ,3768.00 ,87.50K,-0.95%
2019/7/19,3807.96 ,3787.51 ,3828.15 ,3787.51 ,88.09K,1.05%
2019/7/22,3781.68 ,3813.50 ,3816.54 ,3765.44 ,92.10K,-0.69%
2019/7/23,3789.91 ,3783.54 ,3792.96 ,3768.76 ,71.31K,0.22%
2019/7/24,3819.83 ,3803.59 ,3840.06 ,3803.57 ,90.94K,0.79%
2019/7/25,3851.07 ,3821.39 ,3851.07 ,3812.95 ,93.74K,0.82%
2019/7/26,3858.57 ,3835.23 ,3863.59 ,3832.52 ,83.26K,0.19%
2019/7/29,3854.27 ,3857.94 ,3862.75 ,3842.43 ,84.81K,-0.11%
2019/7/30,3870.32 ,3861.57 ,3890.73 ,3861.57 ,94.12K,0.42%
2019/7/31,3835.36 ,3856.74 ,3856.74 ,3830.09 ,82.15K,-0.90%
2019/8/1,3803.47 ,3819.32 ,3831.26 ,3791.55 ,84.11K,-0.83%
2019/8/2,3747.44 ,3729.13 ,3754.53 ,3720.06 ,108.34K,-1.47%
2019/8/5,3675.69 ,3724.41 ,3739.50 ,3675.69 ,101.33K,-1.91%
2019/8/6,3636.33 ,3609.11 ,3649.90 ,3575.86 ,129.83K,-1.07%
2019/8/7,3621.43 ,3654.63 ,3659.08 ,3621.43 ,84.24K,-0.41%
2019/8/8,3669.29 ,3651.36 ,3675.46 ,3646.94 ,88.46K,1.32%
2019/8/9,3633.53 ,3686.75 ,3689.18 ,3628.12 ,85.30K,-0.97%
2019/8/12,3699.10 ,3647.87 ,3699.10 ,3643.32 ,82.08K,1.80%
2019/8/13,3665.75 ,3675.59 ,3686.43 ,3658.01 ,76.50K,-0.90%
2019/8/14,3682.40 ,3712.07 ,3717.56 ,3680.61 ,91.20K,0.45%
2019/8/15,3694.00 ,3618.01 ,3694.30 ,3612.11 ,88.60K,0.32%
2019/8/16,3710.54 ,3697.94 ,3738.10 ,3687.08 ,88.32K,0.45%
2019/8/19,3791.09 ,3736.03 ,3791.09 ,3720.69 ,139.33K,2.17%
2019/8/20,3787.73 ,3786.03 ,3799.90 ,3778.73 ,108.60K,-0.09%
2019/8/21,3781.76 ,3778.31 ,3792.60 ,3775.45 ,82.30K,-0.16%
2019/8/22,3793.51 ,3793.86 ,3797.33 ,3771.20 ,85.81K,0.31%
2019/8/23,3820.86 ,3796.88 ,3829.36 ,3788.03 ,87.96K,0.72%
2019/8/26,3765.91 ,3756.36 ,3778.87 ,3753.16 ,93.86K,-1.44%
2019/8/27,3816.95 ,3791.46 ,3848.24 ,3790.87 ,124.73K,1.36%
2019/8/28,3802.58 ,3818.81 ,3822.59 ,3790.14 ,88.75K,-0.38%
2019/8/29,3790.19 ,3805.49 ,3808.60 ,3774.40 ,84.08K,-0.33%
2019/8/30,3799.59 ,3816.68 ,3828.97 ,3778.92 ,96.70K,0.25%
2019/9/2,3848.32 ,3803.69 ,3855.78 ,3799.82 ,110.29K,1.28%
2019/9/3,3853.61 ,3852.58 ,3856.68 ,3833.76 ,97.72K,0.14%
2019/9/4,3886.00 ,3848.65 ,3886.00 ,3846.42 ,126.63K,0.84%
2019/9/5,3925.32 ,3909.21 ,3970.00 ,3909.21 ,181.66K,1.01%
2019/9/6,3948.51 ,3946.69 ,3948.54 ,3922.34 ,121.88K,0.59%
