日期,收盘,开盘,高,低,交易量,涨跌幅
2019/1/2,23346.24 ,23058.61 ,23413.47 ,22928.59 ,321.57M,0.08%
2019/1/3,22686.22 ,23176.39 ,23176.39 ,22638.41 ,424.24M,-2.83%
2019/1/4,23433.16 ,22894.92 ,23518.64 ,22894.92 ,396.02M,3.29%
2019/1/7,23531.35 ,23474.26 ,23687.74 ,23301.59 ,334.20M,0.42%
2019/1/8,23787.45 ,23680.32 ,23864.65 ,23581.45 ,317.42M,1.09%
2019/1/9,23879.12 ,23844.27 ,23985.45 ,23776.56 ,324.57M,0.39%
2019/1/10,24001.92 ,23811.11 ,24014.78 ,23703.25 ,338.15M,0.51%
2019/1/11,23995.95 ,23940.01 ,23996.32 ,23798.16 ,262.65M,-0.02%
2019/1/14,23909.84 ,23880.53 ,23964.90 ,23765.24 ,277.56M,-0.36%
2019/1/15,24065.59 ,23914.11 ,24099.14 ,23887.93 ,291.57M,0.65%
2019/1/16,24207.16 ,24139.91 ,24288.61 ,24119.72 ,302.83M,0.59%
2019/1/17,24370.10 ,24147.09 ,24474.46 ,24088.90 ,288.59M,0.67%
2019/1/18,24706.35 ,24534.19 ,24750.22 ,24459.03 ,372.97M,1.38%
2019/1/22,24404.48 ,24607.76 ,24607.76 ,24244.31 ,338.48M,-1.22%
2019/1/23,24575.62 ,24577.25 ,24700.98 ,24307.17 ,318.60M,0.70%
2019/1/24,24553.24 ,24579.96 ,24626.30 ,24422.73 ,320.17M,-0.09%
2019/1/25,24737.20 ,24687.21 ,24860.15 ,24676.75 ,376.89M,0.75%
2019/1/28,24528.22 ,24596.98 ,24596.98 ,24323.94 ,347.17M,-0.84%
2019/1/29,24579.96 ,24519.62 ,24674.87 ,24504.04 ,330.87M,0.21%
2019/1/30,25014.86 ,24826.52 ,25109.62 ,24790.90 ,397.33M,1.77%
2019/1/31,24999.67 ,24954.48 ,25049.62 ,24842.09 ,507.35M,-0.06%
2019/2/1,25063.89 ,25025.31 ,25193.15 ,24982.49 ,372.09M,0.26%
2019/2/4,25239.37 ,25062.12 ,25239.91 ,24977.67 ,298.54M,0.70%
2019/2/5,25411.52 ,25287.93 ,25427.32 ,25287.65 ,310.65M,0.68%
2019/2/6,25390.30 ,25371.57 ,25439.04 ,25312.06 ,247.59M,-0.08%
2019/2/7,25169.53 ,25265.81 ,25314.26 ,25000.52 ,295.46M,-0.87%
2019/2/8,25106.33 ,25042.36 ,25106.39 ,24883.04 ,248.21M,-0.25%
2019/2/11,25053.11 ,25142.81 ,25196.75 ,25009.10 ,241.70M,-0.21%
2019/2/12,25425.76 ,25152.03 ,25458.98 ,25152.03 ,278.11M,1.49%
2019/2/13,25543.27 ,25480.86 ,25625.95 ,25480.86 ,263.33M,0.46%
2019/2/14,25439.39 ,25460.65 ,25558.90 ,25308.09 ,313.01M,-0.41%
2019/2/15,25883.25 ,25564.63 ,25883.72 ,25564.63 ,328.53M,1.74%
2019/2/19,25891.32 ,25849.85 ,25961.44 ,25820.01 ,280.62M,0.03%
2019/2/20,25954.44 ,25872.26 ,25986.20 ,25846.48 ,287.88M,0.24%
2019/2/21,25850.63 ,25922.41 ,25938.88 ,25762.21 ,255.71M,-0.40%
2019/2/22,26031.81 ,25906.27 ,26052.90 ,25906.27 ,279.76M,0.70%
2019/2/25,26091.95 ,26126.15 ,26241.42 ,26080.66 ,281.60M,0.23%
2019/2/26,26057.98 ,26051.61 ,26155.29 ,25966.01 ,257.85M,-0.13%
2019/2/27,25985.16 ,25995.60 ,26039.68 ,25877.24 ,255.38M,-0.28%
2019/2/28,25916.00 ,25984.28 ,26029.21 ,25896.56 ,338.52M,-0.27%
2019/3/1,26026.32 ,26019.67 ,26143.92 ,25914.37 ,289.89M,0.43%
2019/3/4,25819.65 ,26122.19 ,26155.98 ,25611.55 ,295.51M,-0.79%
2019/3/5,25806.63 ,25829.07 ,25877.15 ,25725.63 ,252.26M,-0.05%
2019/3/6,25673.46 ,25818.76 ,25837.61 ,25633.71 ,256.25M,-0.52%
2019/3/7,25473.23 ,25645.45 ,25645.45 ,25352.55 ,289.14M,-0.78%
2019/3/8,25450.24 ,25347.38 ,25466.14 ,25252.46 ,270.50M,-0.09%
2019/3/11,25650.88 ,25208.00 ,25661.63 ,25208.00 ,309.79M,0.79%
2019/3/12,25554.66 ,25600.30 ,25675.44 ,25522.17 ,312.52M,-0.38%
2019/3/13,25702.89 ,25637.23 ,25776.49 ,25571.31 ,331.41M,0.58%
2019/3/14,25709.94 ,25692.31 ,25752.84 ,25621.31 ,302.79M,0.03%
2019/3/15,25848.87 ,25720.96 ,25927.91 ,25649.70 ,616.91M,0.54%
2019/3/18,25914.10 ,25801.88 ,25924.77 ,25785.66 ,303.17M,0.25%
2019/3/19,25887.38 ,25987.87 ,26109.68 ,25814.92 ,342.25M,-0.10%
2019/3/20,25745.67 ,25867.79 ,25929.52 ,25670.63 ,321.98M,-0.55%
2019/3/21,25962.51 ,25688.44 ,26009.90 ,25657.78 ,335.25M,0.84%
2019/3/22,25502.32 ,25844.65 ,25877.01 ,25501.45 ,386.51M,-1.77%
2019/3/25,25516.83 ,25490.72 ,25603.27 ,25372.26 ,303.12M,0.06%
