日期,收盘,开盘,高,低,交易量,涨跌幅
2019/1/2,25130.35 ,25824.44 ,25824.44 ,25055.27 ,1.72B,-2.77%
2019/1/3,25064.36 ,25077.68 ,25262.21 ,24896.87 ,1.53B,-0.26%
2019/1/4,25626.03 ,24946.12 ,25626.03 ,24924.73 ,1.76B,2.24%
2019/1/7,25835.70 ,26015.84 ,26043.64 ,25753.46 ,1.49B,0.82%
2019/1/8,25875.45 ,25852.50 ,25960.89 ,25688.50 ,1.63B,0.15%
2019/1/9,26462.32 ,26237.29 ,26597.07 ,26192.65 ,2.76B,2.27%
2019/1/10,26521.43 ,26391.78 ,26588.21 ,26212.34 ,2.00B,0.22%
2019/1/11,26667.27 ,26692.02 ,26692.02 ,26494.86 ,1.86B,0.55%
2019/1/14,26298.33 ,26559.68 ,26575.33 ,26195.78 ,1.47B,-1.38%
2019/1/15,26830.29 ,26518.62 ,26838.55 ,26427.45 ,1.88B,2.02%
2019/1/16,26902.10 ,26702.93 ,26903.78 ,26567.52 ,1.77B,0.27%
2019/1/17,26755.63 ,26953.21 ,27012.19 ,26703.31 ,1.92B,-0.54%
2019/1/18,27090.81 ,26993.44 ,27116.65 ,26915.08 ,1.75B,1.25%
2019/1/21,27196.54 ,27134.27 ,27323.61 ,27084.30 ,1.69B,0.39%
2019/1/22,27005.45 ,27189.40 ,27223.70 ,26854.66 ,1.63B,-0.70%
2019/1/23,27008.20 ,26879.91 ,27131.22 ,26879.91 ,1.42B,0.01%
2019/1/24,27120.98 ,27075.37 ,27120.98 ,26889.79 ,1.36B,0.42%
2019/1/25,27569.19 ,27282.88 ,27569.19 ,27217.75 ,2.34B,1.65%
2019/1/28,27576.96 ,27695.81 ,27790.22 ,27462.37 ,1.76B,0.03%
2019/1/29,27531.68 ,27397.54 ,27575.37 ,27328.17 ,1.88B,-0.16%
2019/1/30,27642.85 ,27571.41 ,27642.85 ,27369.75 ,1.88B,0.40%
2019/1/31,27942.47 ,27842.05 ,28010.90 ,27773.98 ,2.29B,1.08%
2019/2/1,27930.74 ,28193.28 ,28193.28 ,27802.50 ,1.72B,-0.04%
2019/2/4,27990.21 ,27985.42 ,28005.15 ,27847.43 ,833.05M,0.21%
2019/2/8,27946.32 ,27708.13 ,28008.82 ,27534.20 ,1.57B,-0.16%
2019/2/11,28143.84 ,27927.45 ,28143.84 ,27847.85 ,1.43B,0.71%
2019/2/12,28171.33 ,28093.31 ,28219.59 ,27983.48 ,1.54B,0.10%
2019/2/13,28497.59 ,28184.87 ,28533.36 ,28160.46 ,1.99B,1.16%
2019/2/14,28432.05 ,28396.40 ,28476.65 ,28275.18 ,1.48B,-0.23%
2019/2/15,27900.84 ,28241.44 ,28256.69 ,27845.87 ,1.84B,-1.87%
2019/2/18,28347.01 ,28186.75 ,28412.08 ,28186.75 ,1.60B,1.60%
2019/2/19,28228.13 ,28440.49 ,28488.97 ,28208.87 ,1.70B,-0.42%
2019/2/20,28514.05 ,28404.68 ,28599.77 ,28357.30 ,1.99B,1.01%
2019/2/21,28629.92 ,28450.00 ,28759.35 ,28364.85 ,1.87B,0.41%
2019/2/22,28816.30 ,28478.96 ,28816.30 ,28430.20 ,1.76B,0.65%
2019/2/25,28959.30 ,28975.52 ,29009.98 ,28763.46 ,3.63B,0.50%
2019/2/26,28772.06 ,28971.23 ,28971.23 ,28700.01 ,2.84B,-0.65%
2019/2/27,28757.44 ,28833.16 ,29014.19 ,28701.47 ,2.45B,-0.05%
2019/2/28,28633.18 ,28719.71 ,28917.49 ,28571.13 ,2.15B,-0.43%
2019/3/1,28812.17 ,28716.60 ,28860.20 ,28663.71 ,1.99B,0.63%
2019/3/4,28959.59 ,28855.11 ,29241.80 ,28760.67 ,2.77B,0.51%
2019/3/5,28961.60 ,28823.16 ,29025.79 ,28734.81 ,2.01B,0.01%
2019/3/6,29037.60 ,29003.25 ,29122.81 ,28938.39 ,1.85B,0.26%
2019/3/7,28779.45 ,28965.42 ,29007.07 ,28772.45 ,1.74B,-0.89%
2019/3/8,28228.42 ,28409.14 ,28533.76 ,28201.09 ,3.09B,-1.91%
2019/3/11,28503.30 ,28265.85 ,28512.27 ,28240.78 ,1.57B,0.97%
2019/3/12,28920.87 ,28760.27 ,28941.09 ,28734.09 ,1.92B,1.46%
2019/3/13,28807.45 ,28924.28 ,28924.28 ,28690.37 ,1.22B,-0.39%
2019/3/14,28851.39 ,28891.06 ,28932.47 ,28696.31 ,1.43B,0.15%
2019/3/15,29012.26 ,28843.86 ,29204.73 ,28828.26 ,2.04B,0.56%
2019/3/18,29409.01 ,29112.44 ,29409.01 ,29034.13 ,1.95B,1.37%
2019/3/19,29466.28 ,29419.14 ,29486.15 ,29319.51 ,1.80B,0.19%
2019/3/20,29320.97 ,29357.19 ,29435.81 ,29251.25 ,1.63B,-0.49%
2019/3/21,29071.56 ,29387.75 ,29446.77 ,29051.85 ,1.80B,-0.85%
2019/3/22,29113.36 ,29173.33 ,29243.10 ,28847.34 ,1.79B,0.14%
2019/3/25,28523.35 ,28501.37 ,28702.24 ,28463.11 ,2.16B,-2.03%
2019/3/26,28566.91 ,28677.76 ,28701.60 ,28435.06 ,1.45B,0.15%
2019/3/27,28728.25 ,28564.71 ,28781.63 ,28551.65 ,1.52B,0.56%
2019/3/28,28775.21 ,28663.20 ,28816.59 ,28558.80 ,1.63B,0.16%
2019/3/29,29051.36 ,28812.64 ,29100.69 ,28761.88 ,2.78B,0.96%
2019/4/1,29562.02 ,29383.72 ,29612.37 ,29383.72 ,2.55B,1.76%
2019/4/2,29624.67 ,29736.99 ,29736.99 ,29534.42 ,1.92B,0.21%
2019/4/3,29986.39 ,29785.27 ,29999.34 ,29715.77 ,2.08B,1.22%
2019/4/4,29936.32 ,29950.42 ,30050.91 ,29765.55 ,1.91B,-0.17%
2019/4/8,30077.15 ,30119.58 ,30185.06 ,29913.62 ,2.39B,0.47%
2019/4/9,30157.49 ,30065.99 ,30222.02 ,30018.98 ,2.11B,0.27%
2019/4/10,30119.56 ,30052.27 ,30139.61 ,29892.62 ,1.87B,-0.13%
2019/4/11,29839.45 ,30138.14 ,30184.61 ,29783.67 ,1.96B,-0.93%
2019/4/12,29909.76 ,29806.35 ,29909.76 ,29694.85 ,1.61B,0.24%
2019/4/15,29810.72 ,30119.85 ,30280.12 ,29810.72 ,2.07B,-0.33%
2019/4/16,30129.87 ,29754.30 ,30142.86 ,29665.11 ,2.62B,1.07%
2019/4/17,30124.68 ,30160.69 ,30178.58 ,30004.97 ,2.10B,-0.02%
2019/4/18,29963.26 ,30088.65 ,30101.83 ,29896.86 ,1.62B,-0.54%
2019/4/23,29963.24 ,29782.95 ,30055.94 ,29755.87 ,2.07B,0.00%
2019/4/24,29805.83 ,30112.19 ,30112.19 ,29682.87 ,1.80B,-0.53%
2019/4/25,29549.80 ,29667.52 ,29849.70 ,29535.20 ,1.70B,-0.86%
2019/4/26,29605.01 ,29513.08 ,29672.79 ,29504.14 ,1.45B,0.19%
2019/4/29,29892.81 ,29730.85 ,29917.11 ,29639.38 ,1.29B,0.97%
2019/4/30,29699.11 ,29828.15 ,29855.76 ,29620.45 ,1.40B,-0.65%
2019/5/2,29944.18 ,29643.05 ,29967.74 ,29643.05 ,1.34B,0.83%
2019/5/3,30081.55 ,29818.48 ,30081.55 ,29678.86 ,1.26B,0.46%
2019/5/6,29209.82 ,29342.38 ,29384.01 ,28956.47 ,3.02B,-2.90%
2019/5/7,29363.02 ,29313.58 ,29480.04 ,29156.45 ,2.06B,0.52%
2019/5/8,29003.20 ,28987.09 ,29252.00 ,28945.91 ,2.25B,-1.23%
2019/5/9,28311.07 ,28839.35 ,28891.11 ,28281.98 ,3.00B,-2.39%
2019/5/10,28550.24 ,28462.34 ,28833.45 ,28203.22 ,2.50B,0.84%
2019/5/14,28122.02 ,27951.12 ,28205.96 ,27925.62 ,2.96B,-1.50%
2019/5/15,28268.71 ,28171.32 ,28441.49 ,28171.32 ,2.31B,0.52%
2019/5/16,28275.07 ,28117.48 ,28379.37 ,28050.78 ,2.45B,0.02%
2019/5/17,27946.46 ,28428.00 ,28428.00 ,27909.73 ,1.98B,-1.16%
2019/5/20,27787.61 ,27959.23 ,27999.60 ,27699.23 ,2.33B,-0.57%
2019/5/21,27657.24 ,27671.40 ,27915.16 ,27598.06 ,2.30B,-0.47%
2019/5/22,27705.94 ,27753.54 ,27828.81 ,27640.62 ,1.76B,0.18%
2019/5/23,27267.13 ,27505.53 ,27523.86 ,27169.67 ,2.29B,-1.58%
2019/5/24,27353.93 ,27368.68 ,27457.59 ,27291.94 ,1.73B,0.32%
2019/5/27,27288.09 ,27239.08 ,27371.35 ,27105.22 ,1.30B,-0.24%
2019/5/28,27390.81 ,27274.83 ,27490.55 ,27230.09 ,3.14B,0.38%
2019/5/29,27235.71 ,27226.95 ,27429.37 ,27178.71 ,2.31B,-0.57%
2019/5/30,27114.88 ,27319.25 ,27319.25 ,27020.73 ,1.94B,-0.44%
2019/5/31,26901.09 ,27002.96 ,27155.36 ,26850.27 ,1.89B,-0.79%
2019/6/3,26893.86 ,26909.71 ,26968.10 ,26735.48 ,1.77B,-0.03%
2019/6/4,26761.52 ,26994.08 ,26994.08 ,26671.90 ,1.57B,-0.49%
2019/6/5,26895.44 ,27116.08 ,27119.48 ,26803.66 ,1.95B,0.50%
2019/6/6,26965.28 ,26935.87 ,26984.02 ,26837.67 ,1.65B,0.26%
2019/6/10,27578.64 ,27206.61 ,27606.42 ,27155.03 ,2.34B,2.27%
2019/6/11,27789.34 ,27677.06 ,27857.85 ,27577.91 ,1.88B,0.76%
2019/6/12,27308.46 ,27603.12 ,27603.12 ,27222.03 ,1.92B,-1.73%
2019/6/13,27294.71 ,27217.72 ,27294.71 ,26825.35 ,1.90B,-0.05%
2019/6/14,27118.35 ,27180.74 ,27275.88 ,27051.75 ,2.09B,-0.65%
2019/6/17,27227.16 ,27252.45 ,27503.10 ,27227.16 ,1.53B,0.40%
2019/6/18,27498.77 ,27289.70 ,27584.12 ,27201.02 ,1.60B,1.00%
2019/6/19,28202.14 ,28224.87 ,28224.87 ,28022.49 ,2.14B,2.56%
2019/6/20,28550.43 ,28308.85 ,28563.08 ,28258.02 ,1.88B,1.23%
2019/6/21,28473.71 ,28581.51 ,28581.51 ,28359.25 ,2.24B,-0.27%
2019/6/24,28513.00 ,28400.63 ,28634.48 ,28358.06 ,1.38B,0.14%
2019/6/25,28185.98 ,28447.96 ,28470.10 ,28066.13 ,1.91B,-1.15%
2019/6/26,28221.98 ,28046.16 ,28267.98 ,27985.98 ,1.48B,0.13%
2019/6/27,28621.42 ,28352.94 ,28621.42 ,28287.34 ,1.73B,1.42%
2019/6/28,28542.62 ,28632.59 ,28632.59 ,28416.96 ,1.53B,-0.28%
2019/7/2,28875.56 ,28904.04 ,28959.06 ,28768.54 ,2.18B,1.17%
2019/7/3,28855.14 ,28781.97 ,28891.89 ,28721.21 ,1.33B,-0.07%
2019/7/4,28795.77 ,28891.97 ,29007.98 ,28776.48 ,957.16M,-0.21%
